root_id,learned_decision,selected_length,matched_fixed_method,full_trajectory_parity
square:hb3p_stop_continue_formal:800157,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800158,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800159,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800160,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800161,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800162,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800163,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800164,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800165,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800166,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800167,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800168,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800169,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800170,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800171,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800172,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800173,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800174,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800175,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800176,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800177,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800178,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800179,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800180,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800181,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800182,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800183,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800184,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800185,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800186,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800187,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800188,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800189,STOP,60,FIXED_L60,True
square:hb3p_stop_continue_formal:800190,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800191,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800192,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800193,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800194,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800195,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800196,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800197,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800198,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800199,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800200,CONTINUE,80,FIXED_L80,True
square:hb3p_stop_continue_formal:800201,CONTINUE,80,FIXED_L80,True
